user_id,n_days,n_points,points_day,meandist_km,mediandist_km,mindist_km,maxdist_km,meandist_weekday_km,mediandist_weekday_km,meandist_weekend_km,mediandist_weekend_km
0a0e3c56-dd67-c49f-5ac4-a4b6b00f955d,80,40708,508.85,375.22,71.51,0.14,6700.63,280.6,65.6,596.001,100.46
40e9cc78-ef39-2806-e2eb-b1ae2b39c90e,18,9488,527.1111111,147.027,28.116,4.989,2073.354,215.27,44.55,10.545,9.662
4909dafd-e40f-0f77-eaf6-032be9c5916e,12,6550,545.8333333,523.633,91.862,0.127,4469.874,649.158,112.547,147.0561,1.1796
c4d0a28d-b586-d114-e052-2e7418542a2e,9,4932,548,2108.609,36.601,0.59,15461.646,26.12804,32.7732,9397,9397
048abe08-94d4-2db5-87f9-b915506d99ba,12,6596,549.6666667,31695.19,3312.45,0.37,180847.1,37391.12,3977.59,3215.57,3215.57
81cf7946-8172-53de-8944-74dd7c2c661d,37,20406,551.5135135,287.58,38.62,0,2953.8,344.62,29.49,133.56,51.69
7a15d18f-8649-7b30-d159-1793d10cd517,8,4460,557.5,2110.77,98.78,11.09,12305.98,3336.75,526.79,67.47,25.9
d8458927-6180-0e2d-75bf-a5149720d63f,24,14190,591.25,85.6234,26.9198,0.0375,1008.6264,102.3332,32.8032,52.2038,10.813
3e3c4324-24d8-fd6b-2e3a-f70304c711a1,8,4922,615.25,473.613,313.341,26.879,1949.642,558.199,329.961,219.856,219.856
715166da-8ecd-f4ec-256f-963a152f34c1,20,12858,642.9,621.845,96.379,0.226,6083.27,438.75,124.199,1049.066,56.568
9b2d0f15-25ef-7d89-1035-f9233bf207e3,62,39978,644.8064516,682.345,66.962,0.029,6690.962,828.146,133.563,296.4038,11.009
90326b30-9519-bbe6-2cf8-eb216f028b97,25,16588,663.52,624.254,59.743,0.016,5380.83,502.068,61.115,938.445,59.743
c2ea2ba7-44b1-58b3-6a35-e8102a1f36cc,49,33728,688.3265306,1757.049,0.409,0,23405.99,582.351,0.409,4693.796,14.138
8e96d997-d2f7-ad09-7f66-eb4f99ad7238,10,6738,702.679,478.66568,183.947,0.032,5112.52,910.405,176.39,217.98,191.5
2883f7f2-f78e-c709-ebb6-0a291ad61b70,11,8436,766.9090909,4554.235599,52.299,1.476,25585.368,6000.44,639.77,3.547,3.547
802d4c44-14fb-b76e-14fa-96446811ea49,16,12412,775.75,114.0701,42.9167,0.0571,715.9879,88.477,52.6864,190.84,23.344
a76385aa-41d1-8ebe-d093-b3e720eea026,52,41306,794.3461538,1073.288,43.503,0.078,10304.042,1230.993,47.831,645.232,17.651
e42baac1-e1d2-dab1-c1f0-717a51132825,19,15518,816.7368421,297.8353726,17.2115,0.0939,1935.5761,399.642,42.094,12.77701,9.03408
0114d590-46a7-22ac-cb02-665ed75963f9,43,36464,848,79.639,22.411,1.824,422.039,100.203,47.749,26.518,9.18
58061c65-9aed-5b24-07ea-5773d609b6b6,38,32702,860.5789474,2684.873,303.066,24.643,40243.445,1902.408,271.65,4605.47,809.89
aeafb325-fcee-711c-810f-710c0ca9f13d,34,29796,876.3529412,7232.86,82.69,0.02,78962.61,6853.2,70.61,8287.48,1265.26
